"Messenger", "Messenger"
"Send message to a friend", "Send message to a friend"
"Your Email", "Your Email"
"Your Name", "Your Name"
"Friend's Email", "Friend's Email"
"Friend's Name", "Friend's Name"
"Submit message", "Submit message"
"* Required Fields", "* Required Fields"

"Unable to submit your message. Please, try again later", "Unable to submit your message. Please, try again later"
"Your message was submitted. Thank you.", "Your message was submitted. Thank you."
"Unable to submit your message. Please, try again later", "Unable to submit your message. Please, try again later"

"Playground Messages", "Playground Messages"
"Message Manager", "Message Manager"
"Add Message", "Add Message"
"ID", "ID"
"Referrer email", "Referrer email"
"Referrer name", "Referrer name"
"Recipient email", "Recipient email"
"Recipient name", "Recipient name"
"Message", "Message"
"Message Details", "Message Details"
"Manage Messages", "Manage Messages"

"The message has been saved.", "The message has been saved."
"This message no longer exists.", "This message no longer exists."
"Error saving message", "Error saving message"
"The message has been deleted.", "The message has been deleted."
